id,name,region
1,Amudaryo tumani,1
2,Beruniy tumani,1
3,Chimboy tumani,1
4,Ellikqal'a tumani,1
5,Kegeyli tumani,1
6,Mo'ynoq tumani,1
7,Nukus tumani,1
8,Qanliko'l tumani,1
9,Qo'ng'irot tumani,1
10,Qorao'zak tumani,1
11,Shumanay tumani,1
12,Taxtako'pir tumani,1
13,To'rtko'l tumani,1
14,Xo'jayli tumani,1
15,Bog'ot tumani,2
16,Gurlan tumani,2
17,Xonqa tumani,2
18,Hazorasp tumani,2
19,Xiva tumani,2
20,Qo'shko'pir tumani,2
21,Shovot tumani,2
22,Urganch tumani,2
23,Yangiariq tumani,2
24,Yangibozor tumani,2
25,Tuproqqal'a tumani,2
26,Konimex tumani,3
27,Karmana tumani,3
28,Qiziltepa tumani,3
29,Xatircha tumani,3
30,Navbahor tumani,3
31,Nurota tumani,3
32,Tomdi tumani,3
33,Uchquruq tumani,3
34,Olot tumani,4
35,Buxoro tumani,4
36,G'ijduvon tumani,4
37,Jondor tumani,4
38,Kogon tumani,4
39,Qorako'l tumani,4
40,Qorovulbozor tumani,4
41,Peshku tumani,4
42,Pomitan tumani,4
43,Shofirkon tumani,4
44,Vobkent tumani,4
45,Bulung'ur tumani,5
46,Ishtixon tumani,5
47,Jomboy tumani,5
48,Kattaqo'rg'on tumani,5
49,Qo'shrabot tumani,5
50,Narpay tumani,5
51,Nurobot tumani,5
52,Oqdaryo tumani,5
53,Paxtachi tumani,5
54,Payariq tumani,5
55,Pastdarg'om tumani,5
56,Samarqand tumani,5
57,Toyloq tumani,5
58,Urgut tumani,5
59,Chiroqchi tumani,6
60,Dehqonobod tumani,6
61,G'uzor tumani,6
62,Qamashi tumani,6
63,Qarshi tumani,6
64,Koson tumani,6
65,Kasbi tumani,6
66,Kitob tumani,6
67,Mirishkor tumani,6
68,Muborak tumani,6
69,Nishon tumani,6
70,Shahrisabz tumani,6
71,Yakkabog' tumani,6
72,Angor tumani,7
73,Boysun tumani,7
74,Denov tumani,7
75,Jarqo'rg'on tumani,7
76,Qiziriq tumani,7
77,Qumqo'rg'on tumani,7
78,Muzrabot tumani,7
79,Oltinsoy tumani,7
80,Sariosiyo tumani,7
81,Sherobod tumani,7
82,Sho'rchi tumani,7
83,Termiz tumani,7
84,Uzun tumani,7
85,Arnasoy tumani,8
86,Baxmal tumani,8
87,Do'stlik tumani,8
88,Forish tumani,8
89,G'allaorol tumani,8
90,Sharof Rashidov tumani,8
91,Mirzacho'l tumani,8
92,Paxtakor tumani,8
93,Yangiobod tumani,8
94,Zomin tumani,8
95,Zafarobod tumani,8
96,Zarbdor tumani,8
97,Oqoltin tumani,9
98,Boyovut tumani,9
99,Guliston tumani,9
100,Xovos tumani,9
101,Mirzaobod tumani,9
102,Sayxunobod tumani,9
103,Sardoba tumani,9
104,Sirdaryo tumani,9
105,Bekobod tumani,10
106,Bo'tonliq tumani,10
107,Bo'ka tumani,10
108,Chinoz tumani,10
109,Qibray tumani,10
110,Ohangaron tumani,10
111,Oqqo'rg'on tumani,10
112,Parkent tumani,10
113,Piskent tumani,10
114,Quyi chirchiq tumani,10
115,O'rta chirchiq tumani,10
116,Yangiyo'l tumani,10
117,Yuqori chirchiq tumani,10
118,Zangiorta tumani,10
119,Chortoq tumani,11
120,Chust tumani,11
121,Kosonsoy tumani,11
122,Mingbuloq tumani,11
123,Namangan tumani,11
124,Norin tumani (Ozbekiston),11
125,Pop tumani,11
126,To'raqo'rg'on tumani,11
127,Uchqo'rg'on tumani,11
128,Uychi tumani,11
129,Yangiqo'rg'on tumani,11
130,Oltiariq tumani,12
131,Bag'dod tumani,12
132,Beshariq tumani,12
133,Buvayda tumani,12
134,Dang'ara tumani,12
135,Farg'ona tumani,12
136,Furqat tumani,12
137,Qo'shtepa tumani,12
138,Quva tumani,12
139,Rishton tumani,12
140,So'x tumani,12
141,Toshloq tumani,12
142,Uchko'prik tumani,12
143,O'zbekiston tumani,12
144,Yozyovon tumani,12
145,Quvasoy tumani,12
146,Andijon tumani,13
147,Asaka tumani,13
148,Baliqchi tumani,13
149,Bo'z tumani,13
150,Buloqboshi tumani,13
151,Izboskan tumani,13
152,Jalaquduq tumani,13
153,Xo'laobod tumani,13
154,Qo'rg'ontepa tumani,13
155,Marhamat tumani,13
156,Oltinko'l tumani,13
157,Paxtaobod tumani,13
158,Shahrixon tumani,13
159,Ulug'nor tumani,13
160,Bektemir tumani,14
161,Chilonzor tumani,14
162,Hamza tumani,14
163,Mirobod tumani,14
164,Mirzi Ulug'bek tumani,14
165,Sergili tumani,14
166,Shayhontohur tumani,14
167,Olmazor tumani,14
168,Uchtepa tumani,14
169,Yakkasaroy tumani,14
170,Yunusobod tumani,14
171,Andijon shahar,13
172,Farg'ona shahar,12
173,Namangan shahar,11
174,Sirdaryo shahar,9
175,Jizzax shahar,8
176,Surxondaryo shahar,8
177,Qashqadaryo shahar,6
178,Samarqand shahar,5
179,Buxoro shahar,4
180,Navoiy  shahar,3
181,Xorazm shahar,2
